,mean_abs_shap
contrast__shock__wlabs2__p90,0.00010612016341330826
contrast__vib__sp_entropy__p90,0.00010584521202831091
contrast__vib__wlfrac2__max,0.00010535873691465295
contrast__shock__skewness__mean,0.00010516606301647676
contrast__vib__peak__max,0.00010473215073116015
other__shock__shape__max,0.0001046614407143581
contrast__vib__wlfrac0__std,0.00010375023727260024
contrast__shock__wlabs1__mean,0.00010373066183840973
contrast__vib__kurtosis__max,0.00010319272142496973
contrast__vib__wlabs4__mean,0.00010243219290201187
other__shock__wlfrac0__std,0.00010242338881092723
self__shock__sp_flatness__median,0.00010199330339674493
self__vib__sp_centroid_hz__median,0.0001011830438131722
other__shock__impulse__median,0.00010099848378439435
self__shock__impulse__max,0.00010097246892244369
self__shock__wlfrac4__std,0.00010001868312154408
contrast__shock__std__p90,9.990504755801925e-05
self__vib__sp_spread_hz__median,9.88790451181564e-05
contrast__vib__sp_centroid_hz__std,9.766309187457291e-05
contrast__shock__wlabs0__p90,9.552105698229284e-05
other__shock__kurtosis__median,9.4721377859073e-05
self__shock__impulse__std,9.350698337467097e-05
self__shock__sp_entropy__max,9.347003149601437e-05
contrast__shock__sp_spread_hz__std,9.281203199082854e-05
contrast__vib__wlfrac4__p90,9.259307522905221e-05
other__shock__wlfrac4__max,9.162528434214892e-05
other__shock__wlfrac2__median,9.140714814074502e-05
contrast__shock__wl_centroid_m__p90,9.12792048862883e-05
self__shock__zcr__std,9.074512342685825e-05
other__shock__clearance__mean,9.067601134987058e-05
self__vib__sp_centroid_hz__std,9.049849306654567e-05
